time,values
692 ,1044
693 ,1041
694 ,1047
695 ,1047
696 ,1044
697 ,1044
698 ,1047
699 ,1044
700 ,1041
701 ,1038
702 ,1041
703 ,1038
704 ,1041
705 ,1041
706 ,1038
707 ,1038
708 ,1041
709 ,1038
710 ,1038
711 ,1041
712 ,1041
713 ,1038
714 ,1038
715 ,1035
716 ,1026
717 ,1023
718 ,1029
719 ,1032
720 ,1029
721 ,1017
722 ,1014
723 ,1020
724 ,1014
725 ,1014
726 ,1020
727 ,1020
728 ,1017
729 ,1014
730 ,1023
731 ,1020
732 ,1017
733 ,1017
734 ,1020
735 ,1014
736 ,1020
737 ,1020
738 ,1011
739 ,1017
740 ,1020
741 ,1023
742 ,1017
743 ,1014
744 ,1020
745 ,1023
746 ,1020
747 ,1023
748 ,1020
749 ,1020
750 ,1026
751 ,1029
752 ,1026
753 ,1029
754 ,1032
755 ,1032
756 ,1032
757 ,1032
758 ,1032
759 ,1032
760 ,1023
761 ,1026
762 ,1029
763 ,1023
764 ,1026
765 ,1032
766 ,1029
767 ,1026
768 ,1032
769 ,1029
770 ,1032
771 ,1035
772 ,1032
773 ,1032
774 ,1032
775 ,1032
776 ,1032
777 ,1029
778 ,1029
779 ,1029
780 ,1032
781 ,1032
782 ,1032
783 ,1032
784 ,1032
785 ,1035
786 ,1029
787 ,1029
788 ,1029
789 ,1029
790 ,1032
791 ,1032
792 ,1032
793 ,1029
794 ,1026
795 ,1029
796 ,1026
797 ,1035
798 ,1029
799 ,1032
800 ,1029
801 ,1035
802 ,1029
803 ,1029
804 ,1029
805 ,1035
806 ,1035
807 ,1047
808 ,1038
809 ,1041
810 ,1026
811 ,1023
812 ,1023
813 ,1020
814 ,1026
815 ,1095
816 ,1071
817 ,1047
818 ,1077
819 ,1068
820 ,1068
821 ,1071
822 ,1065
823 ,1068
824 ,1068
825 ,1068
826 ,1065
827 ,1068
828 ,1068
829 ,1068
830 ,1068
831 ,1068
832 ,1068
833 ,1068
834 ,1071
835 ,1071
836 ,1068
837 ,1068
838 ,1071
839 ,1065
840 ,1065
841 ,1068
842 ,1062
843 ,1065
844 ,1068
845 ,1068
846 ,1062
847 ,1071
848 ,1071
849 ,1068
850 ,1071
851 ,1065
852 ,1065
853 ,1071
854 ,1071
855 ,1068
856 ,1068
857 ,1068
858 ,1068
859 ,1065
860 ,1068
861 ,1068
862 ,1071
863 ,1065
864 ,1071
865 ,1071
866 ,1065
867 ,1071
868 ,1074
869 ,1068
870 ,1068
871 ,1071
872 ,1068
873 ,1065
874 ,1062
875 ,1056
876 ,1044
877 ,1035
878 ,1035
879 ,1032
880 ,1026
881 ,1026
882 ,1023
883 ,1017
884 ,1020
885 ,1020
886 ,1023
887 ,1017
888 ,1017
889 ,1017
890 ,1023
891 ,1020
892 ,1017
893 ,1017
894 ,1020
895 ,1020
896 ,1017
897 ,1020
898 ,1020
899 ,1017
900 ,1023
901 ,1020
902 ,1023
903 ,1020
904 ,1020
905 ,1017
906 ,1023
907 ,1017
908 ,1017
909 ,1020
910 ,1017
911 ,1023
912 ,1026
913 ,1026
914 ,1026
915 ,1029
916 ,1029
917 ,1026
918 ,1029
919 ,1026
920 ,1029
921 ,1029
922 ,1029
923 ,1029
924 ,1026
925 ,1029
926 ,1029
927 ,1026
928 ,1029
929 ,1029
930 ,1029
931 ,1023
932 ,1023
933 ,1029
934 ,1029
935 ,1029
936 ,1035
937 ,1026
938 ,1032
939 ,1032
940 ,1029
941 ,1029
942 ,1032
943 ,1026
944 ,1029
945 ,1032
946 ,1029
947 ,1032
948 ,1029
949 ,1029
950 ,1029
951 ,1029
952 ,1029
953 ,1032
954 ,1029
955 ,1029
956 ,1029
957 ,1032
958 ,1026
959 ,1032
960 ,1029
961 ,1029
962 ,1029
963 ,1032
964 ,1029
965 ,1032
966 ,1026
967 ,1032
968 ,1035
969 ,1038
970 ,1041
971 ,1038
972 ,1032
973 ,1026
974 ,1029
975 ,1023
976 ,1035
977 ,1056
978 ,1062
979 ,1062
980 ,1062
981 ,1065
982 ,1065
983 ,1065
984 ,1065
985 ,1065
986 ,1068
987 ,1068
988 ,1065
989 ,1068
990 ,1068
991 ,1065
992 ,1065
993 ,1068
994 ,1065
995 ,1065
996 ,1068
997 ,1065
998 ,1068
999 ,1068
1000 ,1065
1001 ,1065
1002 ,1068
1003 ,1068
1004 ,1068
1005 ,1068
1006 ,1068
1007 ,1068
1008 ,1065
1009 ,1065
1010 ,1068
1011 ,1068
1012 ,1068
1013 ,1071
1014 ,1068
1015 ,1065
1016 ,1068
1017 ,1062
1018 ,1068
1019 ,1062
1020 ,1068
1021 ,1065
1022 ,1065
1023 ,1068
1024 ,1065
1025 ,1071
1026 ,1068
1027 ,1065
1028 ,1068
1029 ,1068
1030 ,1071
1031 ,1068
1032 ,1068
1033 ,1068
1034 ,1068
1035 ,1068
1036 ,1065
1037 ,1065
1038 ,1059
1039 ,1053
1040 ,1041
1041 ,1035
1042 ,1029
1043 ,1026
1044 ,1023
1045 ,1026
1046 ,1020
1047 ,1020
1048 ,1020
1049 ,1014
1050 ,1023
1051 ,1017
1052 ,1023
1053 ,1017
1054 ,1017
1055 ,1020
1056 ,1020
1057 ,1020
1058 ,1017
1059 ,1020
1060 ,1020
1061 ,1020
1062 ,1020
1063 ,1017
1064 ,1020
1065 ,1020
1066 ,1020
1067 ,1020
1068 ,1020
1069 ,1014
1070 ,1020
1071 ,1020
1072 ,1023
1073 ,1023
1074 ,1020
1075 ,1023
1076 ,1020
1077 ,1035
1078 ,1032
1079 ,1029
1080 ,1029
1081 ,1032
1082 ,1035
1083 ,1029
1084 ,1032
1085 ,1032
1086 ,1035
1087 ,1032
1088 ,1029
1089 ,1029
1090 ,1032
1091 ,1035
1092 ,1035
1093 ,1032
1094 ,1026
1095 ,1029
1096 ,1029
1097 ,1032
1098 ,1032
1099 ,1032
1100 ,1029
1101 ,1035
1102 ,1035
1103 ,1032
1104 ,1029
1105 ,1032
1106 ,1029
1107 ,1029
1108 ,1029
1109 ,1032
1110 ,1032
1111 ,1032
1112 ,1029
1113 ,1035
1114 ,1032
1115 ,1029
1116 ,1032
1117 ,1029
1118 ,1026
1119 ,1035
1120 ,1032
1121 ,1032
1122 ,1032
1123 ,1032
1124 ,1032
1125 ,1032
1126 ,1032
1127 ,1032
1128 ,1035
1129 ,1032
1130 ,1032
1131 ,1035
1132 ,1029
1133 ,1032
1134 ,1035
1135 ,1035
1136 ,1044
1137 ,1041
1138 ,1038
1139 ,1038
1140 ,1032
1141 ,1068
1142 ,1053
1143 ,1065
1144 ,1068
1145 ,1065
1146 ,1068
1147 ,1068
1148 ,1065
1149 ,1068
1150 ,1071
1151 ,1065
1152 ,1068
1153 ,1068
1154 ,1065
1155 ,1065
1156 ,1065
1157 ,1065
1158 ,1065
1159 ,1065
1160 ,1065
1161 ,1062
1162 ,1065
1163 ,1068
1164 ,1065
1165 ,1065
1166 ,1065
1167 ,1065
1168 ,1068
1169 ,1065
1170 ,1071
1171 ,1065
